items/id,items/premium,items/name,items/department,items/has_test,items/response_letter_required,items/area/id,items/area/name,items/area/url,items/salary,items/type/id,items/type/name,items/address/city,items/address/street,items/address/building,items/address/lat,items/address/lng,items/address/description,items/address/raw,items/address/metro,items/address/id,items/response_url,items/sort_point_distance,items/published_at,items/created_at,items/archived,items/apply_alternate_url,items/show_logo_in_search,items/insider_interview,items/url,items/alternate_url,items/employer/id,items/employer/name,items/employer/url,items/employer/alternate_url,items/employer/logo_urls/90,items/employer/logo_urls/240,items/employer/logo_urls/original,items/employer/vacancies_url,items/employer/accredited_it_employer,items/employer/trusted,items/snippet/requirement,items/snippet/responsibility,items/contacts/name,items/contacts/email,items/contacts/phones/0/comment,items/contacts/phones/0/city,items/contacts/phones/0/number,items/contacts/phones/0/country,items/contacts/phones/0/formatted,items/contacts/call_tracking_enabled,items/schedule/id,items/schedule/name,items/accept_temporary,items/professional_roles/0/id,items/professional_roles/0/name,items/accept_incomplete_resumes,items/experience/id,items/experience/name,items/employment/id,items/employment/name,items/adv_response_url,items/is_adv_vacancy,items/adv_context,items/address,items/contacts,items/salary/from,items/salary/to,items/salary/currency,items/salary/gross,items/insider_interview/id,items/insider_interview/url,items/branding/type,items/branding/tariff,items/department/id,items/department/name,items/contacts/phones/1/comment,items/contacts/phones/1/city,items/contacts/phones/1/number,items/contacts/phones/1/country,items/contacts/phones/1/formatted,items/employer/logo_urls,items/address/metro/station_name,items/address/metro/line_name,items/address/metro/station_id,items/address/metro/line_id,items/address/metro/lat,items/address/metro/lng,items/address/metro_stations/0/station_name,items/address/metro_stations/0/line_name,items/address/metro_stations/0/station_id,items/address/metro_stations/0/line_id,items/address/metro_stations/0/lat,items/address/metro_stations/0/lng,items/address/metro_stations/1/station_name,items/address/metro_stations/1/line_name,items/address/metro_stations/1/station_id,items/address/metro_stations/1/line_id,items/address/metro_stations/1/lat,items/address/metro_stations/1/lng,items/working_time_intervals/0/id,items/working_time_intervals/0/name,items/working_time_modes/0/id,items/working_time_modes/0/name,items/address/metro_stations/2/station_name,items/address/metro_stations/2/line_name,items/address/metro_stations/2/station_id,items/address/metro_stations/2/line_id,items/address/metro_stations/2/lat,items/address/metro_stations/2/lng,items/working_days/0/id,items/working_days/0/name
107401060,false,Аналитик в IT (стажер),,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,Томск,улица Пушкина,75,56.499827,84.998466,,"Томск, улица Пушкина, 75",,6078750,,,2024-10-21T06:41:52+0300,2024-10-21T06:41:52+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=107401060,,,https://api.hh.ru/vacancies/107401060?host=hh.ru,https://hh.ru/vacancy/107401060,5563417,Neo Stack Technology,https://api.hh.ru/employers/5563417,https://hh.ru/employer/5563417,https://img.hhcdn.ru/employer-logo/3913391.jpeg,https://img.hhcdn.ru/employer-logo/3913392.jpeg,https://img.hhcdn.ru/employer-logo-original/868129.jpg,https://api.hh.ru/vacancies?employer_id=5563417,true,true,"Мы сформировали обучающий курс, в который вложили наши лучшие практики и опыт в области аналитики. Цель данного курса сформировать у...",Участие в сборе и описании требований.,Виталий,dyadishchevvp@neostk.com,,909,5405350,7,+79095405350,true,fullDay,Полный день,false,10,Аналитик,false,noExperience,Нет опыта,probation,Стажировка,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109470356,false,Аналитик ИБ (Junior),,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,,,,,,,,,,,,2024-10-28T14:52:58+0300,2024-10-28T14:52:58+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=109470356,,,https://api.hh.ru/vacancies/109470356?host=hh.ru,https://hh.ru/vacancy/109470356,1464554,SolidLab,https://api.hh.ru/employers/1464554,https://hh.ru/employer/1464554,https://img.hhcdn.ru/employer-logo/2445965.png,https://img.hhcdn.ru/employer-logo/2445966.png,https://img.hhcdn.ru/employer-logo-original/501053.png,https://api.hh.ru/vacancies?employer_id=1464554,false,true,"Базовые знания основных веб уязвимостей (OWASP TOP 10), Базовые знания техник обхода WAF; (уверенные теоретические знания). Практические, базовые знания в...",Поддержка клиентов (1-я линия) и реагирование на инциденты информационной безопасности. Мониторинг состояния обслуживаемых средств защиты и их базовое администрирование. ,,,,,,,,,remote,Удаленная работа,false,148,Системный аналитик,false,noExperience,Нет опыта,full,Полная занятость,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109257561,false,Медицинский аналитик,,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,Томск,"микрорайон Телецентр, Ачинская улица",9,56.49284,84.966388,,"Томск, микрорайон Телецентр, Ачинская улица, 9",,6613833,,,2024-10-25T07:09:30+0300,2024-10-25T07:09:30+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=109257561,,,https://api.hh.ru/vacancies/109257561?host=hh.ru,https://hh.ru/vacancy/109257561,4001702,Промышленная Медицина,https://api.hh.ru/employers/4001702,https://hh.ru/employer/4001702,https://img.hhcdn.ru/employer-logo/3964899.jpeg,https://img.hhcdn.ru/employer-logo/3964900.jpeg,https://img.hhcdn.ru/employer-logo-original/881007.jpg,https://api.hh.ru/vacancies?employer_id=4001702,false,true,Высшее профильное образование. Опыт работы в медицине приветствуется. Знание МИС и желание делать их лучше.,"Сбор, описание и анализ бизнес-процессов. Написание ТЗ по доработке МИС. Подготовка предложений по доработке и расширению функционала действующих программ.",Соболева Анастасия,a.soboleva@i-med.pro,,903,9511458,7,+79039511458,true,fullDay,Полный день,false,150,Бизнес-аналитик,false,between1And3,От 1 года до 3 лет,full,Полная занятость,,false,,,,100000,,RUR,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109126346,false,Стажер Системный аналитик,,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,Томск,проспект Фрунзе,32А,56.476379,84.96142,,"Томск, проспект Фрунзе, 32А",,14179022,,,2024-10-23T10:34:40+0300,2024-10-23T10:34:40+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=109126346,,,https://api.hh.ru/vacancies/109126346?host=hh.ru,https://hh.ru/vacancy/109126346,5560707,Спутник,https://api.hh.ru/employers/5560707,https://hh.ru/employer/5560707,https://img.hhcdn.ru/employer-logo/3978475.png,https://img.hhcdn.ru/employer-logo/3978476.png,https://img.hhcdn.ru/employer-logo-original/884444.png,https://api.hh.ru/vacancies?employer_id=5560707,true,true,"Готовность тратить на стажировку 20 часов в неделю. Аналитический склад ума, логическое и пространственное мышление. Умение задавать правильные вопросы. ",Регистрация на стажировку. Заполнение анкеты и выполнение тестового. Выполнение учебных заданий под руководством наставника. Отбор по результатам выполненных учебных заданий...,,,,,,,,,fullDay,Полный день,false,148,Системный аналитик,false,noExperience,Нет опыта,probation,Стажировка,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109103566,false,Бизнес-аналитик,,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,Томск,Березовая улица,2/5,56.533095,85.053147,,"Томск, Березовая улица, 2/5",,550296,,,2024-10-23T07:23:12+0300,2024-10-23T07:23:12+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=109103566,,,https://api.hh.ru/vacancies/109103566?host=hh.ru,https://hh.ru/vacancy/109103566,1966769,Ватерком,https://api.hh.ru/employers/1966769,https://hh.ru/employer/1966769,https://img.hhcdn.ru/employer-logo/4059443.png,https://img.hhcdn.ru/employer-logo/4059444.png,https://img.hhcdn.ru/employer-logo-original/904689.png,https://api.hh.ru/vacancies?employer_id=1966769,false,true,"Высшее образование в области IT, экономики или смежных областях. Опыт работы в сфере бизнес-анализа от 3 лет. ",Анализ требований бизнеса: Сбор и анализ требований пользователей к информационной системе. Интервьюирование ключевых стейкхолдеров для определения текущих и будущих потребностей...,Ратахин Александр Николаевич,alexander.ratakhin@atekwater.ru,,,,,,,fullDay,Полный день,false,150,Бизнес-аналитик,false,between3And6,От 3 до 6 лет,full,Полная занятость,,false,,,,150000,,RUR,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107280948,false,Аналитик-консультант,,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,Томск,проспект Ленина,100/1,56.493034,84.946948,,"Томск, проспект Ленина, 100/1",,6044452,,,2024-10-21T07:09:14+0300,2024-10-21T07:09:14+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=107280948,,,https://api.hh.ru/vacancies/107280948?host=hh.ru,https://hh.ru/vacancy/107280948,61750,Головное подразделение Сибагро,https://api.hh.ru/employers/61750,https://hh.ru/employer/61750,https://img.hhcdn.ru/employer-logo/3467333.jpeg,https://img.hhcdn.ru/employer-logo/3467334.jpeg,https://img.hhcdn.ru/employer-logo-original/756594.jpg,https://api.hh.ru/vacancies?employer_id=61750,false,true,"высшее образование (математическое, инженерное в сфере IT, экономическое). - опыт работы аналитиком/методологом проектов внедрения информационных систем на платформе 1С...","анализ и оптимизация бизнес-процессов. - участие в проектах автоматизации бизнес-процессов в информационных системах. - составление технических заданий, постановка задач разработчикам...",,,,,,,,,remote,Удаленная работа,false,10,Аналитик,false,between1And3,От 1 года до 3 лет,full,Полная занятость,,false,,,,80700,121000,RUR,false,32278,https://hh.ru/interview/32278?employerId=61750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101470983,false,Аналитик маркетплейсов,,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,Томск,Красноармейская улица,96,56.467255,84.965911,,"Томск, Красноармейская улица, 96",,604842,,,2024-10-21T10:14:21+0300,2024-10-21T10:14:21+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=101470983,true,,https://api.hh.ru/vacancies/101470983?host=hh.ru,https://hh.ru/vacancy/101470983,2140160,Maxmoll,https://api.hh.ru/employers/2140160,https://hh.ru/employer/2140160,https://img.hhcdn.ru/employer-logo/6123025.png,https://img.hhcdn.ru/employer-logo/6123026.png,https://img.hhcdn.ru/employer-logo-original/1125609.png,https://api.hh.ru/vacancies?employer_id=2140160,false,true,"Аналитический склад ума, умение работать с цифрами и делать выводы. Уверенный пользователь ПК. Хорошее знание MS Office/Google Sheets. ","Аналитика продаж (поиск точек роста, контроль за оборачиваемостью товаров). Контроль за формированием поставок на склады маркетплейсов. Настройка рекламы, работа с...",,,,,,,,,fullDay,Полный день,false,10,Аналитик,false,noExperience,Нет опыта,full,Полная занятость,,false,,,,,,,,,,CONSTRUCTOR,BASIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108673494,false,Бизнес-аналитик,,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,Томск,Алтайская улица,161А,56.480435,85.008186,,"Томск, Алтайская улица, 161А",,3590777,,,2024-10-15T13:12:30+0300,2024-10-15T13:12:30+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=108673494,,,https://api.hh.ru/vacancies/108673494?host=hh.ru,https://hh.ru/vacancy/108673494,63367,"Компания ЭлеСи, Томск",https://api.hh.ru/employers/63367,https://hh.ru/employer/63367,https://img.hhcdn.ru/employer-logo/323954.png,https://img.hhcdn.ru/employer-logo/396811.png,https://img.hhcdn.ru/employer-logo-original/217754.gif,https://api.hh.ru/vacancies?employer_id=63367,true,true,Высшее образование или последние курсы в ВУЗе. Умение выделять бизнес-процессы. Умение работать в программе Microsoft Visio. Отличные коммуникативные навыки.,Описание бизнес-процессов в компании. Сопровождение процессов в Битрикс 24.,Стрельникова Виктория Анатольевна,viktoria.strelnikova@elesy.ru,,906,9519959,7,+79069519959,true,fullDay,Полный день,false,150,Бизнес-аналитик,false,noExperience,Нет опыта,full,Полная занятость,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108789999,false,Системный аналитик (middle/middle+),,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,,,,,,,,,,,,2024-10-17T11:49:54+0300,2024-10-17T11:49:54+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=108789999,,,https://api.hh.ru/vacancies/108789999?host=hh.ru,https://hh.ru/vacancy/108789999,4749227,АльдераСофт,https://api.hh.ru/employers/4749227,https://hh.ru/employer/4749227,https://img.hhcdn.ru/employer-logo/4116652.png,https://img.hhcdn.ru/employer-logo/4116653.png,https://img.hhcdn.ru/employer-logo-original/919019.png,https://api.hh.ru/vacancies?employer_id=4749227,false,true,"Знание различных моделей, методологий, подходов к управлению разработкой ПО. Знание различных способов и инструментов выявления требований. Опыт работы с микросервисами. ","Выявление требований. Анализ, систематизация и приоритезация требований. Управление требованиями. Согласование требований с заказчиком и командой. Проектирование API (REST/ SOAP). ",Ташкаева Светлана,tashkaevasn@alderasoft.ru,,909,5424540,7,+79095424540,true,remote,Удаленная работа,true,148,Системный аналитик,false,between3And6,От 3 до 6 лет,project,Проектная работа,,false,,,,80000,250000,RUR,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102824717,false,Аналитик в команду WFM,,false,false,90,Томск,https://api.hh.ru/areas/90,,open,Открытая,,,,,,,,,,,,2024-10-17T09:14:21+0300,2024-10-17T09:14:21+0300,false,https://hh.ru/applicant/vacancy_response?vacancyId=102824717,true,,https://api.hh.ru/vacancies/102824717?host=hh.ru,https://hh.ru/vacancy/102824717,9498112,Яндекс Крауд,https://api.hh.ru/employers/9498112,https://hh.ru/employer/9498112,https://img.hhcdn.ru/employer-logo/6647498.jpeg,https://img.hhcdn.ru/employer-logo/6647499.jpeg,https://img.hhcdn.ru/employer-logo-original/1256792.jpg,https://api.hh.ru/vacancies?employer_id=9498112,false,true,"Готовы работать в режиме многозадачности. Отлично знаете Excel: понимаете логику функций, умеете писать сложные и длинные формулы, используете именованные ячейки...","Прогнозировать рабочую нагрузку и планировать расписание сотрудников. Контролировать выработку и эффективность сотрудников, распределять отпуска. Фиксировать фактические данные и анализировать их. ",Линия HR Яндекс Крауд,,,913,8217469,7,+79138217469,true,remote,Удаленная работа,false,10,Аналитик,false,between1And3,От 1 года до 3 лет,full,Полная занятость,,false,,,,60000,,RUR,false,,,MAKEUP,,9498112-9498112-boffice,Яндекс Крауд: Бэк-офис,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
